姓名,性别,电话,生日,协会身份,公司名称,公司职务,分组,邮箱,行业
,,,1987-7-1,,,,,,,"导入时两个注意点
1. 协会身份和分组必须与已经设立的相同才能被导入。如果不同就空着；
2. 生日导入后，后台自动生成星座"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,

,,,,,,,,,,附：行业分类
,,,,,,,,,,互联网/计算机/信息技术
,,,,,,,,,,金融/会计/法律
,,,,,,,,,,贸易/加工
,,,,,,,,,,卫生/医疗/保健
,,,,,,,,,,地产/建筑/建材
,,,,,,,,,,餐饮/酒店/旅游
,,,,,,,,,,交通/运输/物流/仓储
,,,,,,,,,,能源/矿产/环保/水利
,,,,,,,,,,机械/制造
,,,,,,,,,,基础设施
,,,,,,,,,,农林牧渔
,,,,,,,,,,政府机构
,,,,,,,,,,科研/技术服务
,,,,,,,,,,人力资源/人力服务
,,,,,,,,,,教育
,,,,,,,,,,文化/体育/娱乐业
,,,,,,,,,,传媒/广告/公关
,,,,,,,,,,其他
